kurtosis,mean,meanAmplitude,meanFrequency,median,medianFrequency,skewness,totalPower,variance,zzclassification,meandelta,meanAmplitudedelta,powerdelta,meanAdelta,meanFidelta,meanalpha,meanAmplitudealpha,poweralpha,meanAalpha,meanFialpha,meantheta,meanAmplitudetheta,powertheta,meanAtheta,meanFitheta,meanbeta,meanAmplitudebeta,powerbeta,meanAbeta,meanFibeta,meangamma,meanAmplitudegamma,powergamma,meanAgamma,meanFigamma
4.13,0.021244,3.2229,0.058396,0.58155,0.035641,-0.12704,16193.2832,395.4094,HVS,0.094706,13.319,11623.8255,23.726,18.8413,-0.018018,5.2364,730.6822,6.4396,20.2779,-0.0023219,2.3709,122.6658,2.8125,15.957,-0.0030967,2.4443,196.3545,3.1403,33.2202,-0.0024199,0.94243,32.8985,1.3862,23.5648
3.2791,-2.3789,1.0665,0.035283,1.1344,0.012406,-0.64662,26300.6903,638.6263,HVS,0.084519,12.1944,7987.2453,22.4463,17.8398,0.0005502,4.6415,617.8623,6.007,19.5284,-0.0014133,2.7388,183.0739,3.2397,18.5192,1.9953e-05,2.5492,254.3369,3.2378,33.8254,-9.4668e-05,0.93074,34.6978,1.3672,23.3183
3.0902,-0.87227,2.9426,0.046112,-0.044322,0.033204,-0.15371,25146.1548,613.5398,HVS,0.034144,16.7783,13321.673,28.996,21.814,0.0054924,5.2206,764.1588,6.4343,20.2231,-0.0030235,2.6346,139.1267,3.1339,18.113,0.00070241,2.6357,194.1975,3.3977,35.0096,-0.00069539,0.87511,26.573,1.2919,22.1
5.5154,0.3118,5.1182,0.057882,1.5505,0.038691,-0.36433,25763.0613,629.0243,HVS,0.29573,18.7473,22448.3691,29.8469,26.4661,0.015371,6.2157,1432.5598,7.9174,24.0887,0.0052597,2.8407,194.1327,3.2874,18.1336,0.007184,2.5079,162.5746,3.1923,33.905,0.0042136,0.89998,25.7194,1.3613,22.9743
3.4404,-0.46177,2.0769,0.044953,-0.88326,0.019931,-0.063722,12805.4579,312.5502,HVS,-0.070703,9.1533,8193.9444,18.1769,12.6956,0.0046521,3.4078,298.8999,4.2067,13.6582,0.00021099,1.9724,81.7671,2.3433,13.6712,0.0003502,2.2193,137.9852,2.7916,28.4732,0.00033015,1.1345,46.6402,1.5795,25.8743
3.4404,-0.46177,2.0769,0.044953,-0.88326,0.019931,-0.063722,12805.4579,312.5502,HVS,-0.070703,9.1533,8193.9444,18.1769,12.6956,0.0046521,3.4078,298.8999,4.2067,13.6582,0.00021099,1.9724,81.7671,2.3433,13.6712,0.0003502,2.2193,137.9852,2.7916,28.4732,0.00033015,1.1345,46.6402,1.5795,25.8743
3.737,-8.532,-5.4577,0.025516,-5.0587,0.0088618,-0.59999,28983.1318,661.5692,HVS,-0.49348,11.702,9536.7298,25.3997,16.4877,-0.021998,3.8773,313.7378,4.7782,15.7149,-0.0085016,2.4575,156.4395,2.9163,16.8458,-0.0095045,2.5155,164.55,3.1887,31.7958,-0.0067561,1.1651,49.8593,1.6458,26.9006
4.4211,-14.4523,-11.9772,0.0142,-6.6825,0.0022683,-1.159,54459.0418,1197.3879,HVS,-0.17448,8.8216,4661.3191,19.2534,13.6529,-0.0033818,3.2943,268.9873,4.0991,13.9768,-0.0014618,2.4967,105.5321,2.9276,16.8185,-0.0056031,2.8037,254.4055,3.5436,35.6294,-0.0043451,1.1825,52.4964,1.6767,27.5064
6.0123,0.085299,2.1852,0.024602,-2.529,0.010253,-0.081315,33020.4399,806.2929,HVS,0.35239,10.6603,6644.4436,27.7836,14.8064,-0.011286,3.3241,321.0528,4.2307,13.5579,-0.0058476,2.1591,93.2753,2.5449,14.844,-0.0015273,2.4946,158.686,3.0749,30.8906,-0.0023809,1.1737,50.5204,1.6666,27.2677
5.7619,-0.18324,3.1745,0.045527,0.22802,0.031872,-0.73169,20379.7286,497.6136,HVS,0.056515,13.3514,10051.7212,24.7444,20.5792,0.011111,5.0736,781.3893,6.2,19.8351,0.00065405,2.6187,192.6222,3.1059,17.3962,0.0017032,1.6796,89.2484,2.1882,22.3544,0.0010621,0.69303,18.194,1.0451,17.2265
