amplitudeVariation,kurtosis,max,mean,meanAmplitude,meanDerivate_1,meanDerivate_2,meanFrequency,median,medianFrequency,min,rms,skewness,std,totalPower,variance,zzclassification,meandelta,meanAmplitudedelta,powerdelta,rmsdelta,meanAdelta,meanFidelta,meanalpha,meanAmplitudealpha,poweralpha,rmsalpha,meanAalpha,meanFialpha,meantheta,meanAmplitudetheta,powertheta,rmstheta,meanAtheta,meanFitheta
142.5848,4.13,82.0849,0.021244,3.2229,-1.2448,-0.0339,0.058396,0.58155,0.035641,-71.7148,19.8833,-0.12704,19.8849,395.344,395.4094,HVS,0.094706,3.2229,395.344,19.8833,23.726,18.8413,-0.018018,3.2229,395.344,19.8833,6.4396,20.2779,-0.0023219,3.2229,395.344,19.8833,2.8125,15.957
142.5848,4.13,82.0849,0.021244,3.2229,-1.2448,-0.0339,0.058396,0.58155,0.035641,-71.7148,19.8833,-0.12704,19.8849,395.344,395.4094,HVS,0.094706,3.2229,395.344,19.8833,23.726,18.8413,-0.018018,3.2229,395.344,19.8833,6.4396,20.2779,-0.0023219,3.2229,395.344,19.8833,2.8125,15.957
157.0848,3.2791,72.8716,-2.3789,1.0665,-2.3175,0.051485,0.035283,1.1344,0.012406,-85.8907,25.3807,-0.64662,25.2711,644.1792,638.6263,HVS,0.084519,1.0665,644.1792,25.3807,22.4463,17.8398,0.0005502,1.0665,644.1792,25.3807,6.007,19.5284,-0.0014133,1.0665,644.1792,25.3807,3.2397,18.5192
138.334,3.0902,64.4588,-0.87227,2.9426,-0.17392,0.03962,0.046112,-0.044322,0.033204,-90.7325,24.783,-0.15371,24.7697,614.1984,613.5398,HVS,0.034144,2.9426,614.1984,24.783,28.996,21.814,0.0054924,2.9426,614.1984,24.783,6.4343,20.2231,-0.0030235,2.9426,614.1984,24.783,3.1339,18.113
170.8794,5.5154,94.2466,0.3118,5.1182,-3.6408,-0.075215,0.057882,1.5505,0.038691,-123.9959,25.0802,-0.36433,25.0804,629.0166,629.0243,HVS,0.29573,5.1182,629.0166,25.0802,29.8469,26.4661,0.015371,5.1182,629.0166,25.0802,7.9174,24.0887,0.0052597,5.1182,629.0166,25.0802,3.2874,18.1336
111.7535,3.4404,51.376,-0.46177,2.0769,-0.41281,0.058535,0.044953,-0.88326,0.019931,-64.3523,17.6836,-0.063722,17.6791,312.7114,312.5502,HVS,-0.070703,2.0769,312.7114,17.6836,18.1769,12.6956,0.0046521,2.0769,312.7114,17.6836,4.2067,13.6582,0.00021099,2.0769,312.7114,17.6836,2.3433,13.6712
111.7535,3.4404,51.376,-0.46177,2.0769,-0.41281,0.058535,0.044953,-0.88326,0.019931,-64.3523,17.6836,-0.063722,17.6791,312.7114,312.5502,HVS,-0.070703,2.0769,312.7114,17.6836,18.1769,12.6956,0.0046521,2.0769,312.7114,17.6836,4.2067,13.6582,0.00021099,2.0769,312.7114,17.6836,2.3433,13.6712
164.5237,3.737,65.5199,-8.532,-5.4577,0.67011,-0.10787,0.025516,-5.0587,0.0088618,-102.4206,27.0971,-0.59999,25.721,734.2546,661.5692,HVS,-0.49348,-5.4577,734.2546,27.0971,25.3997,16.4877,-0.021998,-5.4577,734.2546,27.0971,4.7782,15.7149,-0.0085016,-5.4577,734.2546,27.0971,2.9163,16.8458
197.3005,4.4211,62.9495,-14.4523,-11.9772,1.8878,-0.070033,0.0142,-6.6825,0.0022683,-137.1974,37.4974,-1.159,34.6033,1406.0561,1197.3879,HVS,-0.17448,-11.9772,1406.0561,37.4974,19.2534,13.6529,-0.0033818,-11.9772,1406.0561,37.4974,4.0991,13.9768,-0.0014618,-11.9772,1406.0561,37.4974,2.9276,16.8185
209.6389,6.0123,87.4506,0.085299,2.1852,-0.73428,-0.012752,0.024602,-2.529,0.010253,-124.6898,28.3931,-0.081315,28.3953,806.1658,806.2929,HVS,0.35239,2.1852,806.1658,28.3931,27.7836,14.8064,-0.011286,2.1852,806.1658,28.3931,4.2307,13.5579,-0.0058476,2.1852,806.1658,28.3931,2.5449,14.844
174.1462,5.7619,63.9361,-0.18324,3.1745,-0.73673,0.011291,0.045527,0.22802,0.031872,-117.9607,22.3061,-0.73169,22.3073,497.5643,497.6136,HVS,0.056515,3.1745,497.5643,22.3061,24.7444,20.5792,0.011111,3.1745,497.5643,22.3061,6.2,19.8351,0.00065405,3.1745,497.5643,22.3061,3.1059,17.3962
174.1462,5.7619,63.9361,-0.18324,3.1745,-0.73673,0.011291,0.045527,0.22802,0.031872,-117.9607,22.3061,-0.73169,22.3073,497.5643,497.6136,HVS,0.056515,3.1745,497.5643,22.3061,24.7444,20.5792,0.011111,3.1745,497.5643,22.3061,6.2,19.8351,0.00065405,3.1745,497.5643,22.3061,3.1059,17.3962
